year,deployment_period,plot,block,location,bag,missing,deployment_date,removal_date,deployment_duration,litter,removal,coin_dry_wieght,coin_litter_dry_weight,initial_dry_weight,final_dry_weight,mass_loss
2025,within,1,1,5,A,,6/17/25,8/7/25,51,Mixed,C,2.383,6.229,5,3.846,1.154
2025,within,1,1,3,B,,6/17/25,8/7/25,51,Mixed,C,2.339,6.025,5,3.686,1.314
2025,within,1,1,1,C,,6/17/25,8/7/25,51,Mixed,C,2.346,6.084,5,3.738,1.262
2025,within,2,1,5,A,,6/17/25,8/7/25,51,Mixed,R,2.402,5.842,5,3.44,1.56
2025,within,2,1,8,B,,6/17/25,8/7/25,51,Mixed,R,2.42,6.344,5,3.924,1.076
2025,within,2,1,9,C,,6/17/25,8/7/25,51,Mixed,R,2.401,6.273,5,3.872,1.128
2025,within,3,2,3,A,,6/17/25,8/7/25,51,Castilleja,C,2.446,6.133,5,3.687,1.313
2025,within,3,2,4,B,,6/17/25,8/7/25,51,Castilleja,C,2.386,6.263,5,3.877,1.123
2025,within,3,2,6,C,,6/17/25,8/7/25,51,Castilleja,C,2.4,6.357,5,3.957,1.043
2025,within,4,2,1,A,,6/17/25,8/7/25,51,Castilleja,R,3.672,7.591,5,3.919,1.081
2025,within,4,2,2,B,,6/17/25,8/7/25,51,Castilleja,R,3.617,7.37,5,3.753,1.247
2025,within,4,2,7,C,,,8/7/25,51,Castilleja,R,3.64,7.253,5,3.613,1.387
2025,within,5,2,6,A,,6/17/25,8/7/25,51,Community,R,2.43,6.418,5,3.988,1.012
2025,within,5,2,9,B,,6/17/25,8/7/25,51,Community,R,2.385,6.179,5,3.794,1.206
2025,within,5,2,1,C,,6/17/25,8/7/25,51,Community,R,2.396,5.875,5,3.479,1.521
2025,within,6,2,3,A,,6/17/25,8/7/25,51,Community,C,2.36,6.153,5,3.793,1.207
2025,within,6,2,7,B,,6/17/25,8/7/25,51,Community,C,2.4,6.5,5,4.1,0.9
2025,within,6,2,9,C,,6/17/25,8/7/25,51,Community,C,2.35,6.088,5,3.738,1.262
2025,within,7,2,5,A,,,8/7/25,51,Mixed,R,2.38,6.23,5,3.85,1.15
2025,within,7,2,1,B,,6/17/25,8/7/25,51,Mixed,R,2.378,6.238,5,3.86,1.14
2025,within,7,2,9,C,,6/17/25,8/7/25,51,Mixed,R,2.43,6.506,5,4.076,0.924
2025,within,8,2,2,A,,6/17/25,8/7/25,51,Mixed,C,2.396,6.246,5,3.85,1.15
2025,within,8,2,6,B,,6/17/25,8/7/25,51,Mixed,C,2.409,6.061,5,3.652,1.348
2025,within,8,2,3,C,,6/17/25,8/7/25,51,Mixed,C,2.456,6.065,5,3.609,1.391
2025,within,9,3,3,A,,6/17/25,8/7/25,51,Mixed,C,2.372,5.869,5,3.497,1.503
2025,within,9,3,1,B,,6/17/25,8/7/25,51,Mixed,C,2.376,6.074,5,3.698,1.302
2025,within,9,3,6,C,,6/17/25,8/7/25,51,Mixed,C,2.337,5.85,5,3.513,1.487
2025,within,10,3,2,A,,6/17/25,8/7/25,51,Mixed,R,2.364,5.814,5,3.45,1.55
2025,within,10,3,4,B,,6/17/25,8/7/25,51,Mixed,R,2.37,5.864,5,3.494,1.506
2025,within,10,3,1,C,,6/17/25,8/7/25,51,Mixed,R,2.391,6.114,5,3.723,1.277
2025,within,11,3,9,A,,6/17/25,8/7/25,51,Community,R,2.373,5.917,5,3.544,1.456
2025,within,11,3,7,B,,6/17/25,8/7/25,51,Community,R,2.413,6.222,5,3.809,1.191
2025,within,11,3,4,C,,6/17/25,8/7/25,51,Community,R,2.44,6.266,5,3.826,1.174
2025,within,12,3,5,A,,6/17/25,8/7/25,51,Community,C,2.35,6.129,5,3.779,1.221
2025,within,12,3,6,B,,6/17/25,8/7/25,51,Community,C,2.353,5.839,5,3.486,1.514
2025,within,12,3,9,C,,6/17/25,8/7/25,51,Community,C,2.381,5.713,5,3.332,1.668
2025,within,13,4,4,A,,6/17/25,8/7/25,51,Castilleja,C,2.335,5.998,5,3.663,1.337
2025,within,13,4,6,B,,6/17/25,8/7/25,51,Castilleja,C,2.357,6.271,5,3.914,1.086
2025,within,13,4,9,C,,6/17/25,8/7/25,51,Castilleja,C,2.348,6.083,5,3.735,1.265
2025,within,14,4,6,A,,6/17/25,8/7/25,51,Castilleja,R,2.377,6.069,5,3.692,1.308
2025,within,14,4,1,B,,6/17/25,8/7/25,51,Castilleja,R,2.413,5.549,5,3.136,1.864
2025,within,14,4,3,C,,6/17/25,8/7/25,51,Castilleja,R,2.395,6.23,5,3.835,1.165
2025,within,17,5,9,A,,6/17/25,8/7/25,51,Mixed,C,2.374,6.009,5,3.635,1.365
2025,within,17,5,3,B,,6/17/25,8/7/25,51,Mixed,C,2.355,6.094,5,3.739,1.261
2025,within,17,5,8,C,,6/17/25,8/7/25,51,Mixed,C,2.418,5.906,5,3.488,1.512
2025,within,18,5,1,A,,6/17/25,8/7/25,51,Mixed,R,2.369,6.129,5,3.76,1.24
2025,within,18,5,2,B,,6/17/25,8/7/25,51,Mixed,R,2.384,6.142,5,3.758,1.242
2025,within,18,5,7,C,,6/17/25,8/7/25,51,Mixed,R,2.403,6.166,5,3.763,1.237
2025,within,21,3,5,A,,6/17/25,8/7/25,51,Castilleja,C,2.391,6.639,5,4.248,0.752
2025,within,21,3,4,B,,6/17/25,8/7/25,51,Castilleja,C,2.371,6.541,5,4.17,0.83
2025,within,21,3,3,C,,6/17/25,8/7/25,51,Castilleja,C,2.351,6.059,5,3.708,1.292
2025,within,22,3,2,A,,6/17/25,8/7/25,51,Castilleja,R,2.377,5.961,5,3.584,1.416
2025,within,22,3,5,B,,6/17/25,8/7/25,51,Castilleja,R,2.38,6.005,5,3.625,1.375
2025,within,22,3,9,C,,6/17/25,8/7/25,51,Castilleja,R,2.443,6.428,5,3.985,1.015
2025,within,27,1,1,A,,6/17/25,8/7/25,51,Community,C,2.47,6.471,5,4.001,0.999
2025,within,27,1,7,B,,6/17/25,8/7/25,51,Community,C,2.344,6.186,5,3.842,1.158
2025,within,27,1,4,C,,6/17/25,8/7/25,51,Community,C,2.407,6.471,5,4.064,0.936
2025,within,28,1,3,A,,6/17/25,8/7/25,51,Community,R,2.334,5.91,5,3.576,1.424
2025,within,28,1,4,B,,6/17/25,8/7/25,51,Community,R,2.373,6.077,5,3.704,1.296
2025,within,28,1,7,C,,6/17/25,8/7/25,51,Community,R,2.336,6.147,5,3.811,1.189
2025,within,29,1,5,A,,6/17/25,8/7/25,51,Castilleja,C,2.399,5.818,5,3.419,1.581
2025,within,29,1,4,B,,6/17/25,8/7/25,51,Castilleja,C,2.268,6.011,5,3.743,1.257
2025,within,29,1,6,C,,6/17/25,8/7/25,51,Castilleja,C,2.415,6.147,5,3.732,1.268
2025,within,30,1,8,A,,6/17/25,8/7/25,51,Castilleja,R,2.336,5.381,5,3.045,1.955
2025,within,30,1,6,B,,6/17/25,8/7/25,51,Castilleja,R,2.372,5.87,5,3.498,1.502
2025,within,30,1,1,C,,6/17/25,8/7/25,51,Castilleja,R,2.324,5.741,5,3.417,1.583
2025,within,33,4,1,A,,6/17/25,8/7/25,51,Community,R,2.437,5.832,5,3.395,1.605
2025,within,33,4,2,B,,6/17/25,8/7/25,51,Community,R,2.374,5.892,5,3.518,1.482
2025,within,33,4,5,C,,6/17/25,8/7/25,51,Community,R,2.34,5.933,5,3.593,1.407
2025,within,34,4,9,A,,6/17/25,8/7/25,51,Community,C,2.347,5.979,5,3.632,1.368
2025,within,34,4,6,B,,6/17/25,8/7/25,51,Community,C,2.353,6.157,5,3.804,1.196
2025,within,34,4,7,C,,6/17/25,8/7/25,51,Community,C,2.39,6.165,5,3.775,1.225
2025,within,35,5,8,A,,6/17/25,8/7/25,51,Community,C,2.358,6.04,5,3.682,1.318
2025,within,35,5,7,B,,6/17/25,8/7/25,51,Community,C,2.417,6.327,5,3.91,1.09
2025,within,35,5,1,C,,6/17/25,8/7/25,51,Community,C,2.384,6.167,5,3.783,1.217
2025,within,36,5,4,A,,6/17/25,8/7/25,51,Community,R,2.376,5.978,5,3.602,1.398
2025,within,36,5,9,B,,6/17/25,8/7/25,51,Community,R,2.387,5.788,5,3.401,1.599
2025,within,36,5,6,C,,6/17/25,8/7/25,51,Community,R,2.38,6.219,5,3.839,1.161
2025,within,37,5,4,A,,6/17/25,8/7/25,51,Castilleja,C,2.356,5.933,5,3.577,1.423
2025,within,37,5,3,B,,6/17/25,8/7/25,51,Castilleja,C,2.42,6.144,5,3.724,1.276
2025,within,37,5,1,C,,6/17/25,8/7/25,51,Castilleja,C,2.329,5.902,5,3.573,1.427
2025,within,38,5,2,A,,6/17/25,8/7/25,51,Castilleja,R,2.386,4.943,5,2.557,2.443
2025,within,38,5,7,B,,6/17/25,8/7/25,51,Castilleja,R,2.378,6.216,5,3.838,1.162
2025,within,38,5,6,C,,6/17/25,8/7/25,51,Castilleja,R,2.381,6.238,5,3.857,1.143
2025,within,39,4,1,A,,6/17/25,8/7/25,51,Mixed,R,2.353,5.878,5,3.525,1.475
2025,within,39,4,4,B,,6/17/25,8/7/25,51,Mixed,R,2.397,5.647,5,3.25,1.75
2025,within,39,4,6,C,,6/17/25,8/7/25,51,Mixed,R,2.362,5.735,5,3.373,1.627
2025,within,40,4,3,A,,6/17/25,8/7/25,51,Mixed,C,2.395,6.172,5,3.777,1.223
2025,within,40,4,1,B,,6/17/25,8/7/25,51,Mixed,C,2.354,5.971,5,3.617,1.383
2025,within,40,4,6,C,,6/17/25,8/7/25,51,Mixed,C,2.43,5.923,5,3.493,1.507
